DATE,SPASTT01USM657N
1957-02-01,-3.97350993377487
1957-03-01,1.1494252873563602
1957-04-01,2.7272727272727204
1957-05-01,3.3185840707964505
1957-06-01,0.8565310492505459
1957-07-01,1.6985138004246203
1957-08-01,-5.01043841336116
1957-09-01,-3.5164835164835297
1957-10-01,-5.92255125284737
1957-11-01,-1.4527845036319398
1957-12-01,0.0
1958-01-01,1.96560196560194
1958-02-01,-0.240963855421686
1958-03-01,1.20772946859906
1958-04-01,-0.715990453460618
1958-05-01,3.1249999999999702
1958-06-01,2.56410256410258
1958-07-01,3.4090909090909
1958-08-01,3.95604395604397
1958-09-01,2.74841437632134
1958-10-01,3.49794238683129
1958-11-01,3.18091451292244
1958-12-01,1.73410404624279
1959-01-01,4.54545454545453
1959-02-01,-0.362318840579709
1959-03-01,3.09090909090911
1959-04-01,1.4109347442680702
1959-05-01,2.26086956521736
1959-06-01,0.0
1959-07-01,4.93197278911567
1959-08-01,-0.32414910858995
1959-09-01,-3.73983739837399
1959-10-01,0.33783783783785803
1959-11-01,1.34680134680132
1959-12-01,3.82059800664452
1960-01-01,-2.24000000000001
1960-02-01,-4.746317512274941
1960-03-01,-1.54639175257731
1960-04-01,0.872600349040114
1960-05-01,-0.8650519031141619
1960-06-01,4.71204188481674
1960-07-01,-2.83333333333332
1960-08-01,-0.171526586620926
1960-09-01,-4.29553264604809
1960-10-01,-2.5134649910233597
1960-11-01,3.13075506445672
1960-12-01,1.42857142857142
1961-01-01,3.6971830985915797
1961-02-01,2.88624787775888
1961-03-01,3.1353135313531397
1961-04-01,2.07999999999999
1961-05-01,1.2539184952978202
1961-06-01,-0.30959752321983197
1961-07-01,-0.15527950310559
1961-08-01,4.043545878693649
1961-09-01,-1.04633781763828
1961-10-01,-1.0574018126888198
1961-11-01,3.05343511450382
1961-12-01,0.5925925925925899
1962-01-01,-3.2400589101619905
1962-02-01,0.9132420091324159
1962-03-01,0.30165912518851695
1962-04-01,-3.3082706766917402
1962-05-01,-6.68740279937791
1962-06-01,-11.166666666666698
1962-07-01,1.68855534709193
1962-08-01,3.50553505535055
1962-09-01,-0.891265597147947
1962-10-01,-2.6978417266187
1962-11-01,8.31792975970426
1962-12-01,3.07167235494879
1963-01-01,3.6423841059602498
1963-02-01,1.1182108626198002
1963-03-01,-0.7898894154818101
1963-04-01,4.936305732484059
1963-05-01,1.8209408194233798
1963-06-01,-0.149031296572298
1963-07-01,-2.53731343283583
1963-08-01,1.83767228177643
1963-09-01,3.45864661654136
1963-10-01,1.1627906976744298
1963-11-01,-0.574712643678194
1963-12-01,2.31213872832373
1964-01-01,2.25988700564971
1964-02-01,2.07182320441988
1964-03-01,2.4357239512855298
1964-04-01,1.05680317040952
1964-05-01,0.261437908496715
1964-06-01,-0.651890482398938
1964-07-01,3.57806691449814
1964-08-01,-1.0767160161507399
1964-09-01,1.83673469387754
1964-10-01,1.89267423736362
1964-11-01,0.699300699300701
1964-12-01,-1.77951388888889
1965-01-01,2.364118426867
1965-02-01,0.8633714655730541
1965-03-01,0.10699764605179099
1965-04-01,1.30397605814451
1965-05-01,1.3082928887951002
1965-06-01,-5.08227452614039
1965-07-01,-0.30721966205836
1965-08-01,2.04710543693594
1965-09-01,3.4296807592752496
1965-10-01,2.29405630865483
1965-11-01,0.774719673802244
1965-12-01,0.38438195427877203
1966-01-01,1.88735706403878
1966-02-01,-0.41259607144821003
1966-03-01,-4.11165366638034
1966-04-01,2.7312806030612795
1966-05-01,-5.516553637308281
1966-06-01,-0.550716110497751
1966-07-01,-0.29407963265877096
1966-08-01,-5.91434676652099
1966-09-01,-3.96003564064825
1966-10-01,-1.1761791390226999
1966-11-01,5.37215980309487
1966-12-01,0.9802399632323149
1967-01-01,4.23180909448712
1967-02-01,3.84883715991418
1967-03-01,2.5541069831837997
1967-04-01,1.8466709393213
1967-05-01,2.1536686163536998
1967-06-01,-0.892179754480669
1967-07-01,2.23494629692004
1967-08-01,1.53455590046195
1967-09-01,1.4577312933658897
1967-10-01,-0.18267911554896302
1967-11-01,-3.2521531271270603
1967-12-01,3.21091887197906
1968-01-01,0.340170609557952
1968-02-01,-4.799323452562151
1968-03-01,-2.3771524342694397
1968-04-01,7.588107620859669
1968-05-01,3.04867302312649
1968-06-01,3.25389403157148
1968-07-01,-0.39358364378253796
1968-08-01,-2.4436799666827
1968-09-01,3.20710985557132
1968-10-01,2.6707471355322903
1968-11-01,1.9236197179204801
1968-12-01,1.4776476598858201
1969-01-01,-4.14884350648333
1969-02-01,-0.838370376193978
1969-03-01,-2.8633747349648
1969-04-01,1.6460281635606
1969-05-01,3.34473415247952
1969-06-01,-5.646619013206821
1969-07-01,-5.06329830521051
1969-08-01,-0.586300676940374
1969-09-01,0.520253081203044
1969-10-01,1.72081873846641
1969-11-01,1.09060985691747
1969-12-01,-5.5131759851752005
1970-01-01,-0.703773951972516
1970-02-01,-3.48484661853158
1970-03-01,1.43251422828641
1970-04-01,-3.93798694170956
1970-05-01,-12.344737705188198
1970-06-01,-0.8826734635968271
1970-07-01,-0.313781827243156
1970-08-01,2.74023131514961
1970-09-01,6.674613595300079
1970-10-01,2.12296993076348
1970-11-01,-0.477388397548484
1970-12-01,6.91202830894302
1971-01-01,4.66353318864548
1971-02-01,4.15087181643175
1971-03-01,2.76131282018641
1971-04-01,3.4924169624992203
1971-05-01,-1.4295601273623701
1971-06-01,-1.6766317574357301
1971-07-01,-0.42386253810434704
1971-08-01,-1.99097256765842
1971-09-01,2.25837847827236
1971-10-01,-2.1535886790392103
